SexRatio,ReleaseTimeStep,InvProb
"(3, 10)",75,0.01
"(5, 10)",25,0.21
"(10, 1)",10,1.0
"(10, 10)",10,1.0
"(5, 1)",75,0.03
"(3, 3)",50,0.02
"(5, 10)",75,0.01
"(3, 5)",100,0.01
"(10, 3)",100,0.02
"(1, 1)",50,0.0
"(3, 5)",25,0.03
"(5, 3)",50,0.06
"(3, 3)",10,0.44
"(10, 3)",25,0.63
"(3, 1)",50,0.03
"(5, 5)",100,0.01
"(10, 5)",50,0.15
"(3, 10)",50,0.0
"(10, 1)",100,0.02
"(3, 5)",75,0.0
"(1, 1)",10,0.02
"(10, 3)",75,0.08
"(5, 5)",25,0.17
"(10, 10)",100,0.01
"(5, 3)",10,0.93
"(5, 1)",50,0.02
"(3, 1)",10,0.33
"(10, 1)",25,0.53
"(10, 5)",10,1.0
"(5, 10)",50,0.02
"(3, 10)",10,0.6
"(10, 10)",25,0.66
"(5, 5)",75,0.02
"(10, 1)",75,0.03
"(5, 1)",10,0.83
"(3, 3)",100,0.0
"(10, 10)",75,0.05
"(5, 10)",10,0.96
"(3, 3)",25,0.02
"(1, 1)",100,0.03
"(3, 5)",50,0.01
"(5, 3)",100,0.02
"(10, 3)",50,0.19
"(3, 1)",100,0.0
"(10, 5)",100,0.02
"(1, 1)",25,0.0
"(3, 3)",75,0.01
"(3, 10)",100,0.0
"(5, 3)",25,0.07
"(3, 1)",25,0.02
"(5, 5)",50,0.01
"(3, 5)",10,0.57
"(10, 3)",10,1.0
"(10, 5)",25,0.54
"(3, 10)",25,0.09
"(5, 1)",100,0.04
"(10, 1)",50,0.05
"(1, 1)",75,0.0
"(5, 3)",75,0.0
"(5, 10)",100,0.01
"(10, 10)",50,0.16
"(3, 1)",75,0.0
"(10, 5)",75,0.05
"(5, 1)",25,0.1
"(5, 5)",10,0.93
